epoch,loss,mae_e,mae_e_per_atom,rmse_e,rmse_e_per_atom,q95_e,mae_f,rel_mae_f,rmse_f,rel_rmse_f,q95_f,time,mode
0,15.713874816894531,187.0789031982422,0.4923129081726074,187.1011962890625,0.492371529340744,191.1578125,0.2539920210838318,61.294832788566644,0.39333757758140564,62.049266333804475,0.8757268249988556,0.37932276725769043,eval
1,8.757401466369629,197.1515655517578,0.5188198685646057,197.1868896484375,0.5189128518104553,202.89296875,0.19533413648605347,47.13917068229455,0.2913439869880676,45.959709099072015,0.6037983894348145,1.3282232284545898,eval
2,6.679326057434082,157.27108764648438,0.41387128829956055,157.38230895996094,0.4141639769077301,166.1578125,0.16751214861869812,40.42500664321154,0.25510379672050476,40.242794809502605,0.5321917235851288,0.2259678840637207,eval
3,5.791188716888428,125.2281265258789,0.3295476734638214,125.4755859375,0.3301989436149597,136.9375,0.155390664935112,37.49977965236239,0.23837275803089142,37.60346224922071,0.5015036314725878,0.22538447380065918,eval
4,4.7132415771484375,104.79374694824219,0.2757730185985565,105.14867401123047,0.2767070233821869,117.59609375,0.1418566256761551,34.233666528840864,0.2153293937444687,33.9683560978406,0.4437085032463075,0.2255411148071289,eval
5,3.622131109237671,94.6968765258789,0.24920232594013214,95.12980651855469,0.25034159421920776,108.13359375,0.12389517575502396,29.899104896321816,0.18866533041000366,29.7620822463695,0.38236765265464795,0.22548508644104004,eval
6,3.0052402019500732,81.65156555175781,0.21487252414226532,82.23270416259766,0.2164018303155899,96.02734375,0.11150863766670227,26.909913433877016,0.17200030386447906,27.1331631460347,0.3461675748229028,0.22568488121032715,eval
7,2.6632871627807617,71.6898422241211,0.1886574923992157,72.3772201538086,0.19046637415885925,86.3484375,0.103138267993927,24.889927107999835,0.16208051145076752,25.56830924817122,0.3211684703826905,0.22720837593078613,eval
8,2.411419153213501,61.265625,0.1612253338098526,62.093849182128906,0.16340486705303192,76.16484375,0.09688610583543777,23.38111894766351,0.15442533791065216,24.360700494533123,0.3011011332273483,0.22831320762634277,eval
9,2.2239091396331787,55.453125,0.1459292769432068,56.33988571166992,0.1482628583908081,70.16875,0.09181711077690125,22.157839558046316,0.14838890731334686,23.408449524410127,0.28603836297988894,0.22820496559143066,eval
10,2.0761306285858154,49.79999923706055,0.1310526430606842,50.766944885253906,0.1335972249507904,64.36953125,0.08812596648931503,21.2670711357131,0.14346715807914734,22.632040285966998,0.27231408357620246,0.22776579856872559,eval
11,1.9682049751281738,49.877342224121094,0.13125616312026978,50.79625701904297,0.13367436826229095,64.11796875,0.08523772656917572,20.570064268321108,0.13965442776679993,22.030579525303082,0.2613955467939377,0.22873425483703613,eval
12,1.8817012310028076,46.26953125,0.12176193296909332,47.26214599609375,0.12437406927347183,60.52109375,0.08301684260368347,20.034107623987286,0.13661010563373566,21.55033566962594,0.2502483472228051,0.22977209091186523,eval
13,1.8093055486679077,44.178123474121094,0.11625821888446808,45.189353942871094,0.11891935765743256,58.254687499999996,0.08096720278263092,19.53947661324881,0.13398373126983643,21.136023354489634,0.24202205240726474,0.22916555404663086,eval
14,1.740851879119873,42.111717224121094,0.11082031577825546,43.12484359741211,0.11348642408847809,55.883593749999996,0.07864399999380112,18.97882779496072,0.13145236670970917,20.736698899539018,0.2369484424591065,0.22884392738342285,eval
15,1.6886341571807861,39.501564025878906,0.10395147651433945,40.56301498413086,0.10674478113651276,53.159375,0.07690383493900299,18.55888103599086,0.12950828671455383,20.43001897809508,0.23355529010295872,0.23256421089172363,eval
16,1.635060429573059,36.67499923706055,0.09651316702365875,37.795166015625,0.09946096688508987,50.203125,0.0749533474445343,18.088178041780708,0.1274820864200592,20.110384524423512,0.23006170094013217,0.2311840057373047,eval
17,1.575132966041565,34.403907775878906,0.09053659439086914,35.56260299682617,0.0935857966542244,47.75,0.0727318674325943,17.55207755604906,0.12515489757061005,19.743268924595917,0.22485296353697787,0.22801804542541504,eval
18,1.5279769897460938,32.984375,0.08680097758769989,34.17136001586914,0.0899246335029602,46.23984375,0.07082316279411316,17.09145784382649,0.12328384071588516,19.448108452468162,0.22019934654235845,0.2324988842010498,eval
19,1.4833906888961792,31.529687881469727,0.08297286182641983,32.747955322265625,0.08617883175611496,44.6671875,0.06893658638000488,16.636178243498208,0.1214892566204071,19.165011609335544,0.2154322937130928,0.2290358543395996,eval
20,1.444936752319336,28.952342987060547,0.07619037479162216,30.260583877563477,0.07963311672210693,42.0171875,0.06726004183292389,16.231584755728782,0.11994145810604095,18.92084535692836,0.2130592525005341,0.227675199508667,eval
21,1.4133877754211426,28.346094131469727,0.07459498941898346,29.620988845825195,0.07794997841119766,41.1171875,0.06579950451850891,15.879119390531422,0.11863016337156296,18.713987734216474,0.2113003633916378,0.23210382461547852,eval
22,1.3883085250854492,25.676563262939453,0.06756989657878876,27.04391860961914,0.0711682140827179,38.2828125,0.06466512382030487,15.605364038224332,0.1176113709807396,18.55327255214372,0.2070231661200524,0.22764229774475098,eval
23,1.36397385597229,23.620311737060547,0.06215871497988701,25.047340393066406,0.06591405719518661,35.99921875,0.06353487074375153,15.332604787597184,0.11660313606262207,18.39422281846205,0.20614374577999123,0.23368525505065918,eval
24,1.344041109085083,21.840625762939453,0.05747533589601517,23.348020553588867,0.06144215911626816,34.09921875,0.0626072809100151,15.10875341024828,0.11576985567808151,18.262772279642398,0.20138708651065837,0.22953033447265625,eval
25,1.325873851776123,19.80078125,0.0521073155105114,21.405366897583008,0.05632990971207619,31.885937499999997,0.06182660907506943,14.920357139445956,0.11500872671604156,18.142703676051593,0.1992130756378174,0.22865605354309082,eval
26,1.307674527168274,19.012500762939453,0.05003289505839348,20.615642547607422,0.054251689463853836,30.865624999999998,0.06100746616721153,14.722676805422715,0.11422484368085861,18.01904560218106,0.1983924970030785,0.22788023948669434,eval
27,1.2910503149032593,17.786718368530273,0.04680715501308441,19.461484909057617,0.05121443048119545,29.5359375,0.060270119458436966,14.544736006224854,0.1135089173913002,17.906107750452442,0.19697324931621563,0.23625659942626953,eval
28,1.2719630002975464,16.839061737060547,0.04431332275271416,18.55167007446289,0.04882018640637398,28.424999999999997,0.059388212859630585,14.331909173010557,0.11267562955617905,17.774656036298715,0.19456626772880564,0.22768759727478027,eval
29,1.2538447380065918,15.821874618530273,0.04163651540875435,17.572906494140625,0.04624449089169502,27.206249999999997,0.05861338973045349,14.1449243459244,0.11187968403100967,17.649095096552976,0.19108973741531377,0.23760986328125,eval
30,1.2377318143844604,16.286718368530273,0.04285978525876999,17.93612289428711,0.04720032215118408,27.471093749999998,0.057918913662433624,13.97732933926516,0.11115322262048721,17.534495322435507,0.18838845044374472,0.2312631607055664,eval
31,1.2224403619766235,16.0625,0.042269736528396606,17.70897674560547,0.04660256952047348,27.16015625,0.05719775706529617,13.803295632035741,0.11046577244997025,17.426049597559913,0.18661472052335745,0.22839903831481934,eval
32,1.207777500152588,14.125,0.037171054631471634,15.954290390014648,0.04198497533798218,25.165625,0.05657339096069336,13.652619969795756,0.1098187044262886,17.32397418339687,0.185590860247612,0.22753262519836426,eval
33,1.1941605806350708,13.375781059265137,0.035199422389268875,15.260645866394043,0.04015959054231644,24.307812499999997,0.05594499409198761,13.500971580102977,0.10920384526252747,17.22697973846083,0.1838795363903046,0.23914098739624023,eval
34,1.180528163909912,13.314844131469727,0.035039059817790985,15.180803298950195,0.039949484169483185,24.170312499999998,0.055309876799583435,13.347701378649713,0.1085786446928978,17.128353929822016,0.18109231963753702,0.22945737838745117,eval
35,1.1691646575927734,12.594531059265137,0.03314350172877312,14.553799629211426,0.03829947113990784,23.448437499999997,0.054859459400177,13.23900403034771,0.1080600693821907,17.046548327199318,0.17978299111127863,0.2281494140625,eval
36,1.1606146097183228,12.743749618530273,0.03353618457913399,14.65069580078125,0.03855445981025696,23.5,0.05446481332182884,13.14376574183852,0.10766280442476273,16.98387951406403,0.1802525281906128,0.2316427230834961,eval
37,1.149834394454956,12.5703125,0.03307976946234703,14.486955642700195,0.038123566657304764,23.284374999999997,0.053973544389009476,13.025209863733037,0.10716254264116287,16.904962882609492,0.1754828147590161,0.23089599609375,eval
38,1.1399861574172974,11.342968940734863,0.029849916696548462,13.399812698364258,0.03526266664266586,21.95703125,0.05349677801132202,12.910153826638398,0.10671188682317734,16.83387162545831,0.17395223677158358,0.22803878784179688,eval
39,1.1311205625534058,10.514062881469727,0.027668586000800133,12.691169738769531,0.03339781612157822,21.090625,0.05309627950191498,12.813503195404309,0.1063017025589943,16.769164783028636,0.1722450315952301,0.22875022888183594,eval
40,1.1211788654327393,10.02734375,0.02638774737715721,12.239933967590332,0.03221035376191139,20.474999999999998,0.05256304889917374,12.684820882891886,0.10583673417568207,16.695815709110146,0.17118534967303287,0.22784662246704102,eval
41,1.112938642501831,9.545312881469727,0.025119245052337646,11.826704978942871,0.031122907996177673,19.94140625,0.05213027074933052,12.580380340956793,0.10544998198747635,16.634805292361467,0.1689045622944832,0.23189735412597656,eval
42,1.104871392250061,8.546875,0.022491777315735817,11.031810760498047,0.02903108298778534,18.9265625,0.05175696685910225,12.490292473498505,0.10507277399301529,16.575300478569016,0.16701584160327917,0.2286672592163086,eval
43,1.0970075130462646,9.303906440734863,0.02448396384716034,11.611776351928711,0.030557306483387947,19.6453125,0.05133911594748497,12.38945425957021,0.10469354689121246,16.51547714924094,0.16477013602852827,0.22848963737487793,eval
44,1.0895291566848755,8.555468559265137,0.02251439169049263,10.995655059814453,0.028935935348272324,18.8328125,0.0509716160595417,12.300767047723248,0.10434038937091827,16.459766313858108,0.16392529606819156,0.2277538776397705,eval
45,1.082051396369934,8.549219131469727,0.02249794453382492,10.9511137008667,0.02881872095167637,18.73515625,0.05053802952170372,12.196131420892353,0.10398175567388535,16.403191607926615,0.16326641887426394,0.2281484603881836,eval
46,1.0762648582458496,8.756250381469727,0.023042764514684677,11.05908489227295,0.029102856293320656,18.815624999999997,0.05019889026880264,12.11428836255569,0.1037023514509201,16.359115404599788,0.16329433470964436,0.22794842720031738,eval
47,1.0690110921859741,8.794530868530273,0.023143503814935684,11.088624954223633,0.02918059192597866,18.8484375,0.04974738880991936,12.005329402711395,0.10335180163383484,16.303815936144886,0.1623732462525368,0.23015904426574707,eval
48,1.0619536638259888,8.01953125,0.021104028448462486,10.471272468566895,0.027555976063013077,18.045312499999998,0.049384936690330505,11.917860347702272,0.10301429033279419,16.250573302329645,0.15930537283420582,0.22694158554077148,eval
49,1.0561611652374268,7.675000190734863,0.020197367295622826,10.156691551208496,0.026728134602308273,17.57578125,0.04906082898378372,11.839644789617026,0.10273493826389313,16.20650532634138,0.15857473462820063,0.22686100006103516,eval
50,1.0500527620315552,7.3984375,0.019469572231173515,9.946368217468262,0.026174653321504593,17.287499999999998,0.048760369420051575,11.767136138990521,0.10243865847587585,16.15976699132379,0.15769454613327988,0.23714256286621094,eval
51,1.0460604429244995,8.153124809265137,0.021455591544508934,10.466653823852539,0.027543826028704643,17.91484375,0.04849930480122566,11.704134505751563,0.10224000364542007,16.128429058753905,0.15698946118354803,0.23024797439575195,eval
52,1.0438404083251953,7.935937404632568,0.020884046331048012,10.295676231384277,0.027093885466456413,17.690624999999997,0.04835181683301926,11.66854185086831,0.10213257372379303,16.111481916657173,0.15655031725764285,0.22802448272705078,eval
53,1.0395046472549438,7.721093654632568,0.020318666473031044,10.115191459655762,0.026618927717208862,17.4390625,0.04814774543046951,11.619294152287706,0.10192134976387024,16.078161195494655,0.15569498986005784,0.2285175323486328,eval
54,1.0382158756256104,7.793749809265137,0.020509866997599602,10.118447303771973,0.026627490296959877,17.397656249999997,0.048043254762887955,11.594077856240109,0.10185808688402176,16.068181433823018,0.15533443391323093,0.2318575382232666,eval
55,1.0349233150482178,7.354687690734863,0.01935444213449955,9.727479934692383,0.02559863030910492,16.8359375,0.047866757959127426,11.551484620326422,0.10169897973537445,16.043082174548747,0.155522395670414,0.22931671142578125,eval
56,1.032004714012146,6.837500095367432,0.017993420362472534,9.308905601501465,0.024497119709849358,16.25078125,0.04765782505273819,11.501063715344802,0.10155809670686722,16.020857782433684,0.15492830127477653,0.22823524475097656,eval
57,1.0276496410369873,7.344531059265137,0.019327713176608086,9.663308143615723,0.025429757311940193,16.705468749999998,0.047447167336940765,11.450226569318222,0.1013411432504654,15.986633229363795,0.15430286377668392,0.2277517318725586,eval
58,1.025224208831787,6.856249809265137,0.01804276369512081,9.287429809570312,0.02444060519337654,16.197656249999998,0.04722300171852112,11.396129617613418,0.10122385621070862,15.96813112027948,0.15353041738271722,0.22841882705688477,eval
59,1.0219535827636719,6.881249904632568,0.01810855232179165,9.262860298156738,0.024375949054956436,16.127343749999998,0.04695971682667732,11.332592175167559,0.10106232762336731,15.942649877429272,0.15234774276614194,0.2269604206085205,eval
60,1.01895010471344,6.369531154632568,0.01676192507147789,8.855439186096191,0.023303786292672157,15.54765625,0.04672516882419586,11.275989686114375,0.10091615468263626,15.919590998117547,0.15211729407310493,0.2319331169128418,eval
61,1.0171947479248047,5.938281059265137,0.01562705636024475,8.486980438232422,0.022334158420562744,14.985937499999999,0.046569935977458954,11.238527992068123,0.10083133727312088,15.906210994953026,0.1508452236652375,0.23017358779907227,eval
62,1.0140295028686523,6.096875190734863,0.016044408082962036,8.536952018737793,0.0224656630307436,15.010937499999999,0.04642829671502113,11.204346780901034,0.10067396610975266,15.881385588519354,0.15046907141804713,0.22723722457885742,eval
63,1.0104124546051025,5.600781440734863,0.014738897792994976,8.151000022888184,0.021449999883770943,14.43828125,0.04626067727804184,11.163895882806214,0.10049638897180557,15.853372676061243,0.15038391649723057,0.2272043228149414,eval
64,1.0088001489639282,4.935937404632568,0.01298930961638689,7.679574966430664,0.020209405571222305,13.713281249999998,0.046122558414936066,11.130564234895033,0.10041870921850204,15.84111864294518,0.14942905306816112,0.23360490798950195,eval
65,1.006345510482788,5.146874904632568,0.013544407673180103,7.755406379699707,0.020408963784575462,13.804687499999998,0.045963138341903687,11.092092055029054,0.1002960130572319,15.821763241318923,0.149156577885151,0.2374413013458252,eval
66,1.0046788454055786,4.764062404632568,0.012537007220089436,7.473515033721924,0.019667144864797592,13.357031249999999,0.04587173834443092,11.070034875681205,0.10021436959505081,15.808883930472403,0.14891048520803454,0.23446345329284668,eval
67,1.0040720701217651,4.694531440734863,0.012354029342532158,7.331877708435059,0.019294414669275284,13.121875,0.04585510119795799,11.066019902664394,0.10018481314182281,15.804221380177811,0.14834340214729314,0.22812819480895996,eval
68,1.0044245719909668,4.907031059265137,0.012913240119814873,7.508210182189941,0.019758446142077446,13.38359375,0.045891717076301575,11.07485625953458,0.10020150989294052,15.806855303850655,0.14727125763893129,0.2279069423675537,eval
69,1.0023744106292725,4.982031345367432,0.013110607862472534,7.531932353973389,0.01982087455689907,13.407812499999999,0.04575018584728241,11.040701119620847,0.10009901970624924,15.790687408248836,0.14812113717198377,0.23214149475097656,eval
70,1.0008511543273926,5.173437595367432,0.013614309020340443,7.645591735839844,0.020119978114962578,13.572656249999998,0.045716509222984314,11.03257408064369,0.1000223234295845,15.778588519231306,0.1471543639898301,0.2298603057861328,eval
71,0.998883068561554,5.712500095367432,0.015032894909381866,8.005179405212402,0.02106626145541668,14.07890625,0.04560600593686104,11.005906784495526,0.09992192685604095,15.762750892505913,0.14727794155478477,0.22989583015441895,eval
72,0.9976465702056885,5.12109375,0.013476562686264515,7.605291843414307,0.020013926550745964,13.509374999999999,0.04548220336437225,10.976030027158373,0.09986221045255661,15.753330589856262,0.14727623909711854,0.22830986976623535,eval
73,0.9958450794219971,5.092968940734863,0.013402548618614674,7.527238845825195,0.01980852149426937,13.364843749999999,0.04538147896528244,10.951722628943289,0.0997723862528801,15.739160762190116,0.1461910039186478,0.23229527473449707,eval
74,0.9947181344032288,4.744531154632568,0.012485608458518982,7.2390289306640625,0.019050076603889465,12.90703125,0.045271601527929306,10.925206366262842,0.09971736371517181,15.730480920010741,0.14648313224315654,0.23036623001098633,eval
75,0.9925968050956726,4.474218845367432,0.011774259619414806,7.008934497833252,0.018444564193487167,12.532812499999999,0.04509654641151428,10.882961046730145,0.09961207956075668,15.713872274128995,0.14642018377780916,0.22859740257263184,eval
76,0.9911658763885498,4.471093654632568,0.011766036041080952,6.9688591957092285,0.01833910308778286,12.452343749999999,0.04496624693274498,10.851516418156692,0.09954041987657547,15.702567910949416,0.1461955711245537,0.22828102111816406,eval
77,0.9888129830360413,4.892187595367432,0.012874176725745201,7.201827526092529,0.018952177837491035,12.783593749999998,0.04474441334605217,10.79798224592088,0.09942100197076797,15.683729656318274,0.14402945414185528,0.22830867767333984,eval
78,0.9869229793548584,4.963281154632568,0.013061265461146832,7.246725082397461,0.019070329144597054,12.842187499999998,0.04459981247782707,10.763086322808343,0.09932569414377213,15.668694782769387,0.14383818060159692,0.22803878784179688,eval
79,0.9863082766532898,4.585156440734863,0.012066200375556946,6.948338985443115,0.018285103142261505,12.374218749999999,0.04461940750479698,10.767815108761866,0.0992962196469307,15.664045161149673,0.14386327713727956,0.23363232612609863,eval
80,0.9857720732688904,4.512499809265137,0.011874999850988388,6.88197135925293,0.018110450357198715,12.260937499999999,0.04462907463312149,10.770148036432852,0.09926953911781311,15.659836289809887,0.1431908167898655,0.22979950904846191,eval
81,0.985353410243988,4.20703125,0.01107113528996706,6.609325885772705,0.01739296317100525,11.824218749999998,0.0445905439555645,10.760849589072151,0.09924972057342529,15.656709901157601,0.1438781075179577,0.22777152061462402,eval
82,0.9836394190788269,4.259375095367432,0.011208881624042988,6.650644302368164,0.017501696944236755,11.878124999999999,0.04442642629146576,10.72124375918956,0.09916315227746964,15.643053694484326,0.14353355765342712,0.22797679901123047,eval
